PRESIDENT 2012
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Florida,20121106,N/A,HERNANDO,County,"83,667","44,938","Romney, W. Mitt",Challenger,"37,830","Obama, Barack H.",Incumbent,Libertarian,488,"Johnson, Gary E.",Challenger,411,"7,108",R,53.71,45.21,.58,.49,54.29,45.71,"The other vote was: Hoefling, Thomas (American Independent) 15; Barr, Roseanne (Peace and Freedom) 165; Stevens, Thomas Robert (Objectivist) 70; Barnett, Andre (Reform) 10; Lindsay, Peta (Socialism and Liberation) 3; Stein, Jill (Green) 93; Goode, Virgil H. Jr. (Write-in) 35; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 14; Alexander, Stewart (Socialist) 6",,"The other vote was: Hoefling, Thomas (American Independent) 15; Barr, Roseanne (Peace and Freedom) 165; Stevens, Thomas Robert (Objectivist) 70; Barnett, Andre (Reform) 10; Lindsay, Peta (Socialism and Liberation) 3; Stein, Jill (Green) 93; Goode, Virgil H. Jr. (Write-in) 35; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 14; Alexander, Stewart (Socialist) 6"
President,Florida,20121106,N/A,HIGHLANDS,County,"42,444","25,915","Romney, W. Mitt",Challenger,"16,148","Obama, Barack H.",Incumbent,Libertarian,195,"Johnson, Gary E.",Challenger,186,"9,767",R,61.06,38.05,.46,.44,61.61,38.39,"The other vote was: Hoefling, Thomas (American Independent) 7; Barr, Roseanne (Peace and Freedom) 58; Stevens, Thomas Robert (Objectivist) 40; Barnett, Andre (Reform) 6; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 36; Goode, Virgil H. Jr. (Write-in) 19; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 15; Alexander, Stewart (Socialist) 5",,"The other vote was: Hoefling, Thomas (American Independent) 7; Barr, Roseanne (Peace and Freedom) 58; Stevens, Thomas Robert (Objectivist) 40; Barnett, Andre (Reform) 6; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 36; Goode, Virgil H. Jr. (Write-in) 19; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 15; Alexander, Stewart (Socialist) 5"
President,Florida,20121106,N/A,HILLSBOROUGH,County,"542,102","250,186","Romney, W. Mitt",Challenger,"286,467","Obama, Barack H.",Incumbent,Libertarian,"3,448","Johnson, Gary E.",Challenger,"2,001","36,281",D,46.15,52.84,.64,.37,46.62,53.38,"The other vote was: Hoefling, Thomas (American Independent) 56; Barr, Roseanne (Peace and Freedom) 531; Stevens, Thomas Robert (Objectivist) 254; Barnett, Andre (Reform) 56; Lindsay, Peta (Socialism and Liberation) 19; Stein, Jill (Green) 681; Goode, Virgil H. Jr. (Write-in) 177; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 156; Alexander, Stewart (Socialist) 71",,"The other vote was: Hoefling, Thomas (American Independent) 56; Barr, Roseanne (Peace and Freedom) 531; Stevens, Thomas Robert (Objectivist) 254; Barnett, Andre (Reform) 56; Lindsay, Peta (Socialism and Liberation) 19; Stein, Jill (Green) 681; Goode, Virgil H. Jr. (Write-in) 177; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 156; Alexander, Stewart (Socialist) 71"
President,Florida,20121106,N/A,HOLMES,County,"8,274","6,919","Romney, W. Mitt",Challenger,"1,264","Obama, Barack H.",Incumbent,Libertarian,34,"Johnson, Gary E.",Challenger,57,"5,655",R,83.62,15.28,.41,.69,84.55,15.45,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 25; Stevens, Thomas Robert (Objectivist) 8; Barnett, Andre (Reform) 5; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 6; Goode, Virgil H. Jr. (Write-in) 6; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 5; Alexander, Stewart (Socialist) 0",,"The other vote was: Hoefling, Thomas (American Independent) 1; Barr, Roseanne (Peace and Freedom) 25; Stevens, Thomas Robert (Objectivist) 8; Barnett, Andre (Reform) 5; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 6; Goode, Virgil H. Jr. (Write-in) 6; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 5; Alexander, Stewart (Socialist) 0"
President,Florida,20121106,N/A,INDIAN RIVER,County,"71,464","43,450","Romney, W. Mitt",Challenger,"27,492","Obama, Barack H.",Incumbent,Libertarian,329,"Johnson, Gary E.",Challenger,193,"15,958",R,60.80,38.47,.46,.27,61.25,38.75,"The other vote was: Hoefling, Thomas (American Independent) 7; Barr, Roseanne (Peace and Freedom) 49; Stevens, Thomas Robert (Objectivist) 35; Barnett, Andre (Reform) 4; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 58; Goode, Virgil H. Jr. (Write-in) 18; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 17; Alexander, Stewart (Socialist) 5",,"The other vote was: Hoefling, Thomas (American Independent) 7; Barr, Roseanne (Peace and Freedom) 49; Stevens, Thomas Robert (Objectivist) 35; Barnett, Andre (Reform) 4; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 58; Goode, Virgil H. Jr. (Write-in) 18; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 17; Alexander, Stewart (Socialist) 5"
President,Florida,20121106,N/A,JACKSON,County,"20,941","13,418","Romney, W. Mitt",Challenger,"7,342","Obama, Barack H.",Incumbent,Libertarian,79,"Johnson, Gary E.",Challenger,102,"6,076",R,64.08,35.06,.38,.49,64.63,35.37,"The other vote was: Hoefling, Thomas (American Independent) 2; Barr, Roseanne (Peace and Freedom) 36; Stevens, Thomas Robert (Objectivist) 27; Barnett, Andre (Reform) 9; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 12; Goode, Virgil H. Jr. (Write-in) 11; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 2; Alexander, Stewart (Socialist) 2",,"The other vote was: Hoefling, Thomas (American Independent) 2; Barr, Roseanne (Peace and Freedom) 36; Stevens, Thomas Robert (Objectivist) 27; Barnett, Andre (Reform) 9; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 12; Goode, Virgil H. Jr. (Write-in) 11; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 2; Alexander, Stewart (Socialist) 2"
President,Florida,20121106,N/A,JEFFERSON,County,"7,808","3,808","Romney, W. Mitt",Challenger,"3,945","Obama, Barack H.",Incumbent,Libertarian,28,"Johnson, Gary E.",Challenger,27,137,D,48.77,50.53,.36,.35,49.12,50.88,"The other vote was: Hoefling, Thomas (American Independent) 0; Barr, Roseanne (Peace and Freedom) 6; Stevens, Thomas Robert (Objectivist) 2; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 9; Goode, Virgil H. Jr. (Write-in) 6; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 1",,"The other vote was: Hoefling, Thomas (American Independent) 0; Barr, Roseanne (Peace and Freedom) 6; Stevens, Thomas Robert (Objectivist) 2; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 9; Goode, Virgil H. Jr. (Write-in) 6; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 1"
President,Florida,20121106,N/A,LAFAYETTE,County,"3,399","2,668","Romney, W. Mitt",Challenger,687,"Obama, Barack H.",Incumbent,Libertarian,19,"Johnson, Gary E.",Challenger,25,"1,981",R,78.49,20.21,.56,.74,79.52,20.48,"The other vote was: Hoefling, Thomas (American Independent) 0; Barr, Roseanne (Peace and Freedom) 15; Stevens, Thomas Robert (Objectivist) 2; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 2; Goode, Virgil H. Jr. (Write-in) 1; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 1",,"The other vote was: Hoefling, Thomas (American Independent) 0; Barr, Roseanne (Peace and Freedom) 15; Stevens, Thomas Robert (Objectivist) 2; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 2; Goode, Virgil H. Jr. (Write-in) 1; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 3; Alexander, Stewart (Socialist) 1"
President,Florida,20121106,N/A,LAKE,County,"150,811","87,643","Romney, W. Mitt",Challenger,"61,799","Obama, Barack H.",Incumbent,Libertarian,799,"Johnson, Gary E.",Challenger,570,"25,844",R,58.11,40.98,.53,.38,58.65,41.35,"The other vote was: Hoefling, Thomas (American Independent) 17; Barr, Roseanne (Peace and Freedom) 197; Stevens, Thomas Robert (Objectivist) 110; Barnett, Andre (Reform) 15; Lindsay, Peta (Socialism and Liberation) 4; Stein, Jill (Green) 136; Goode, Virgil H. Jr. (Write-in) 48; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 32; Alexander, Stewart (Socialist) 11",,"The other vote was: Hoefling, Thomas (American Independent) 17; Barr, Roseanne (Peace and Freedom) 197; Stevens, Thomas Robert (Objectivist) 110; Barnett, Andre (Reform) 15; Lindsay, Peta (Socialism and Liberation) 4; Stein, Jill (Green) 136; Goode, Virgil H. Jr. (Write-in) 48; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 32; Alexander, Stewart (Socialist) 11"
President,Florida,20121106,N/A,LEE,County,"266,166","154,163","Romney, W. Mitt",Challenger,"110,157","Obama, Barack H.",Incumbent,Libertarian,"1,177","Johnson, Gary E.",Challenger,669,"44,006",R,57.92,41.39,.44,.25,58.32,41.68,"The other vote was: Hoefling, Thomas (American Independent) 27; Barr, Roseanne (Peace and Freedom) 182; Stevens, Thomas Robert (Objectivist) 101; Barnett, Andre (Reform) 22; Lindsay, Peta (Socialism and Liberation) 4; Stein, Jill (Green) 206; Goode, Virgil H. Jr. (Write-in) 68; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 33; Alexander, Stewart (Socialist) 25",,"The other vote was: Hoefling, Thomas (American Independent) 27; Barr, Roseanne (Peace and Freedom) 182; Stevens, Thomas Robert (Objectivist) 101; Barnett, Andre (Reform) 22; Lindsay, Peta (Socialism and Liberation) 4; Stein, Jill (Green) 206; Goode, Virgil H. Jr. (Write-in) 68; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 33; Alexander, Stewart (Socialist) 25"
President,Florida,20121106,N/A,LEON,County,"148,353","55,805","Romney, W. Mitt",Challenger,"90,881","Obama, Barack H.",Incumbent,Libertarian,"1,137","Johnson, Gary E.",Challenger,530,"35,076",D,37.62,61.26,.77,.36,38.04,61.96,"The other vote was: Hoefling, Thomas (American Independent) 20; Barr, Roseanne (Peace and Freedom) 103; Stevens, Thomas Robert (Objectivist) 47; Barnett, Andre (Reform) 8; Lindsay, Peta (Socialism and Liberation) 11; Stein, Jill (Green) 232; Goode, Virgil H. Jr. (Write-in) 62; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 33; Alexander, Stewart (Socialist) 14",,"The other vote was: Hoefling, Thomas (American Independent) 20; Barr, Roseanne (Peace and Freedom) 103; Stevens, Thomas Robert (Objectivist) 47; Barnett, Andre (Reform) 8; Lindsay, Peta (Socialism and Liberation) 11; Stein, Jill (Green) 232; Goode, Virgil H. Jr. (Write-in) 62; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 33; Alexander, Stewart (Socialist) 14"
President,Florida,20121106,N/A,LEVY,County,"18,399","12,054","Romney, W. Mitt",Challenger,"6,119","Obama, Barack H.",Incumbent,Libertarian,90,"Johnson, Gary E.",Challenger,136,"5,935",R,65.51,33.26,.49,.74,66.33,33.67,"The other vote was: Hoefling, Thomas (American Independent) 6; Barr, Roseanne (Peace and Freedom) 53; Stevens, Thomas Robert (Objectivist) 22; Barnett, Andre (Reform) 4; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 33; Goode, Virgil H. Jr. (Write-in) 13; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 2; Alexander, Stewart (Socialist) 3",,"The other vote was: Hoefling, Thomas (American Independent) 6; Barr, Roseanne (Peace and Freedom) 53; Stevens, Thomas Robert (Objectivist) 22; Barnett, Andre (Reform) 4; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 33; Goode, Virgil H. Jr. (Write-in) 13; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 2; Alexander, Stewart (Socialist) 3"
President,Florida,20121106,N/A,LIBERTY,County,"3,284","2,301","Romney, W. Mitt",Challenger,942,"Obama, Barack H.",Incumbent,Libertarian,9,"Johnson, Gary E.",Challenger,32,"1,359",R,70.07,28.68,.27,.97,70.95,29.05,"The other vote was: Hoefling, Thomas (American Independent) 2; Barr, Roseanne (Peace and Freedom) 16; Stevens, Thomas Robert (Objectivist) 6; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 2; Goode, Virgil H. Jr. (Write-in) 3; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 1; Alexander, Stewart (Socialist) 2",,"The other vote was: Hoefling, Thomas (American Independent) 2; Barr, Roseanne (Peace and Freedom) 16; Stevens, Thomas Robert (Objectivist) 6; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 2; Goode, Virgil H. Jr. (Write-in) 3; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 1; Alexander, Stewart (Socialist) 2"
President,Florida,20121106,N/A,MADISON,County,"8,715","4,474","Romney, W. Mitt",Challenger,"4,176","Obama, Barack H.",Incumbent,Libertarian,33,"Johnson, Gary E.",Challenger,32,298,R,51.34,47.92,.38,.37,51.72,48.28,"The other vote was: Hoefling, Thomas (American Independent) 0; Barr, Roseanne (Peace and Freedom) 9; Stevens, Thomas Robert (Objectivist) 4; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 11; Goode, Virgil H. Jr. (Write-in) 2; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 1; Alexander, Stewart (Socialist) 4",,"The other vote was: Hoefling, Thomas (American Independent) 0; Barr, Roseanne (Peace and Freedom) 9; Stevens, Thomas Robert (Objectivist) 4; Barnett, Andre (Reform) 0; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 11; Goode, Virgil H. Jr. (Write-in) 2; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 1; Alexander, Stewart (Socialist) 4"
President,Florida,20121106,N/A,MANATEE,County,"153,491","85,627","Romney, W. Mitt",Challenger,"66,503","Obama, Barack H.",Incumbent,Libertarian,786,"Johnson, Gary E.",Challenger,575,"19,124",R,55.79,43.33,.51,.37,56.29,43.71,"The other vote was: Hoefling, Thomas (American Independent) 15; Barr, Roseanne (Peace and Freedom) 170; Stevens, Thomas Robert (Objectivist) 80; Barnett, Andre (Reform) 8; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 192; Goode, Virgil H. Jr. (Write-in) 56; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 39; Alexander, Stewart (Socialist) 14",,"The other vote was: Hoefling, Thomas (American Independent) 15; Barr, Roseanne (Peace and Freedom) 170; Stevens, Thomas Robert (Objectivist) 80; Barnett, Andre (Reform) 8; Lindsay, Peta (Socialism and Liberation) 1; Stein, Jill (Green) 192; Goode, Virgil H. Jr. (Write-in) 56; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 39; Alexander, Stewart (Socialist) 14"
President,Florida,20121106,N/A,MARION,County,"161,385","93,043","Romney, W. Mitt",Challenger,"66,831","Obama, Barack H.",Incumbent,Libertarian,806,"Johnson, Gary E.",Challenger,705,"26,212",R,57.65,41.41,.50,.44,58.20,41.80,"The other vote was: Hoefling, Thomas (American Independent) 31; Barr, Roseanne (Peace and Freedom) 236; Stevens, Thomas Robert (Objectivist) 109; Barnett, Andre (Reform) 15; Lindsay, Peta (Socialism and Liberation) 5; Stein, Jill (Green) 146; Goode, Virgil H. Jr. (Write-in) 95; Scattered Write-In (Write-in) 2; Anderson, Ross C. (Justice) 46; Alexander, Stewart (Socialist) 20",,"The other vote was: Hoefling, Thomas (American Independent) 31; Barr, Roseanne (Peace and Freedom) 236; Stevens, Thomas Robert (Objectivist) 109; Barnett, Andre (Reform) 15; Lindsay, Peta (Socialism and Liberation) 5; Stein, Jill (Green) 146; Goode, Virgil H. Jr. (Write-in) 95; Scattered Write-In (Write-in) 2; Anderson, Ross C. (Justice) 46; Alexander, Stewart (Socialist) 20"
President,Florida,20121106,N/A,MARTIN,County,"78,873","48,183","Romney, W. Mitt",Challenger,"30,107","Obama, Barack H.",Incumbent,Libertarian,368,"Johnson, Gary E.",Challenger,215,"18,076",R,61.09,38.17,.47,.27,61.54,38.46,"The other vote was: Hoefling, Thomas (American Independent) 4; Barr, Roseanne (Peace and Freedom) 68; Stevens, Thomas Robert (Objectivist) 25; Barnett, Andre (Reform) 4; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 81; Goode, Virgil H. Jr. (Write-in) 23; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 5; Alexander, Stewart (Socialist) 3",,"The other vote was: Hoefling, Thomas (American Independent) 4; Barr, Roseanne (Peace and Freedom) 68; Stevens, Thomas Robert (Objectivist) 25; Barnett, Andre (Reform) 4; Lindsay, Peta (Socialism and Liberation) 2; Stein, Jill (Green) 81; Goode, Virgil H. Jr. (Write-in) 23; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 5; Alexander, Stewart (Socialist) 3"
President,Florida,20121106,N/A,MIAMI-DADE,County,"878,314","332,981","Romney, W. Mitt",Challenger,"541,440","Obama, Barack H.",Incumbent,Libertarian,"2,276","Johnson, Gary E.",Challenger,"1,617","208,459",D,37.91,61.65,.26,.18,38.08,61.92,"The other vote was: Hoefling, Thomas (American Independent) 61; Barr, Roseanne (Peace and Freedom) 245; Stevens, Thomas Robert (Objectivist) 272; Barnett, Andre (Reform) 67; Lindsay, Peta (Socialism and Liberation) 44; Stein, Jill (Green) 608; Goode, Virgil H. Jr. (Write-in) 80; Scattered Write-In (Write-in) 17; Anderson, Ross C. (Justice) 136; Alexander, Stewart (Socialist) 87",,"The other vote was: Hoefling, Thomas (American Independent) 61; Barr, Roseanne (Peace and Freedom) 245; Stevens, Thomas Robert (Objectivist) 272; Barnett, Andre (Reform) 67; Lindsay, Peta (Socialism and Liberation) 44; Stein, Jill (Green) 608; Goode, Virgil H. Jr. (Write-in) 80; Scattered Write-In (Write-in) 17; Anderson, Ross C. (Justice) 136; Alexander, Stewart (Socialist) 87"
President,Florida,20121106,N/A,MONROE,County,"39,057","19,234","Romney, W. Mitt",Challenger,"19,404","Obama, Barack H.",Incumbent,Libertarian,260,"Johnson, Gary E.",Challenger,159,170,D,49.25,49.68,.67,.41,49.78,50.22,"The other vote was: Hoefling, Thomas (American Independent) 0; Barr, Roseanne (Peace and Freedom) 51; Stevens, Thomas Robert (Objectivist) 13; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 67; Goode, Virgil H. Jr. (Write-in) 9; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 9; Alexander, Stewart (Socialist) 8",,"The other vote was: Hoefling, Thomas (American Independent) 0; Barr, Roseanne (Peace and Freedom) 51; Stevens, Thomas Robert (Objectivist) 13; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 67; Goode, Virgil H. Jr. (Write-in) 9; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 9; Alexander, Stewart (Socialist) 8"
President,Florida,20121106,N/A,NASSAU,County,"40,528","29,929","Romney, W. Mitt",Challenger,"10,251","Obama, Barack H.",Incumbent,Libertarian,230,"Johnson, Gary E.",Challenger,118,"19,678",R,73.85,25.29,.57,.29,74.49,25.51,"The other vote was: Hoefling, Thomas (American Independent) 5; Barr, Roseanne (Peace and Freedom) 24; Stevens, Thomas Robert (Objectivist) 24; Barnett, Andre (Reform) 11; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 30; Goode, Virgil H. Jr. (Write-in) 12; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 10; Alexander, Stewart (Socialist) 2",,"The other vote was: Hoefling, Thomas (American Independent) 5; Barr, Roseanne (Peace and Freedom) 24; Stevens, Thomas Robert (Objectivist) 24; Barnett, Andre (Reform) 11; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 30; Goode, Virgil H. Jr. (Write-in) 12; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 10; Alexander, Stewart (Socialist) 2"
President,Florida,20121106,N/A,OKALOOSA,County,"94,798","70,168","Romney, W. Mitt",Challenger,"23,421","Obama, Barack H.",Incumbent,Libertarian,848,"Johnson, Gary E.",Challenger,361,"46,747",R,74.02,24.71,.89,.38,74.97,25.03,"The other vote was: Hoefling, Thomas (American Independent) 17; Barr, Roseanne (Peace and Freedom) 98; Stevens, Thomas Robert (Objectivist) 42; Barnett, Andre (Reform) 16; Lindsay, Peta (Socialism and Liberation) 3; Stein, Jill (Green) 97; Goode, Virgil H. Jr. (Write-in) 53; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 20; Alexander, Stewart (Socialist) 14",,"The other vote was: Hoefling, Thomas (American Independent) 17; Barr, Roseanne (Peace and Freedom) 98; Stevens, Thomas Robert (Objectivist) 42; Barnett, Andre (Reform) 16; Lindsay, Peta (Socialism and Liberation) 3; Stein, Jill (Green) 97; Goode, Virgil H. Jr. (Write-in) 53; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 20; Alexander, Stewart (Socialist) 14"
President,Florida,20121106,N/A,OKEECHOBEE,County,"12,324","7,328","Romney, W. Mitt",Challenger,"4,856","Obama, Barack H.",Incumbent,Libertarian,66,"Johnson, Gary E.",Challenger,74,"2,472",R,59.46,39.40,.54,.60,60.14,39.86,"The other vote was: Hoefling, Thomas (American Independent) 4; Barr, Roseanne (Peace and Freedom) 28; Stevens, Thomas Robert (Objectivist) 9; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 15; Goode, Virgil H. Jr. (Write-in) 8; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 5; Alexander, Stewart (Socialist) 3",,"The other vote was: Hoefling, Thomas (American Independent) 4; Barr, Roseanne (Peace and Freedom) 28; Stevens, Thomas Robert (Objectivist) 9; Barnett, Andre (Reform) 2; Lindsay, Peta (Socialism and Liberation) 0; Stein, Jill (Green) 15; Goode, Virgil H. Jr. (Write-in) 8; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 5; Alexander, Stewart (Socialist) 3"
President,Florida,20121106,N/A,ORANGE,County,"466,359","188,589","Romney, W. Mitt",Challenger,"273,665","Obama, Barack H.",Incumbent,Libertarian,"2,839","Johnson, Gary E.",Challenger,"1,266","85,076",D,40.44,58.68,.61,.27,40.80,59.20,"The other vote was: Hoefling, Thomas (American Independent) 54; Barr, Roseanne (Peace and Freedom) 289; Stevens, Thomas Robert (Objectivist) 160; Barnett, Andre (Reform) 63; Lindsay, Peta (Socialism and Liberation) 18; Stein, Jill (Green) 442; Goode, Virgil H. Jr. (Write-in) 112; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 85; Alexander, Stewart (Socialist) 43",,"The other vote was: Hoefling, Thomas (American Independent) 54; Barr, Roseanne (Peace and Freedom) 289; Stevens, Thomas Robert (Objectivist) 160; Barnett, Andre (Reform) 63; Lindsay, Peta (Socialism and Liberation) 18; Stein, Jill (Green) 442; Goode, Virgil H. Jr. (Write-in) 112; Scattered Write-In (Write-in) 0; Anderson, Ross C. (Justice) 85; Alexander, Stewart (Socialist) 43"
President,Florida,20121106,N/A,OSCEOLA,County,"108,698","40,592","Romney, W. Mitt",Challenger,"67,239","Obama, Barack H.",Incumbent,Libertarian,458,"Johnson, Gary E.",Challenger,409,"26,647",D,37.34,61.86,.42,.38,37.64,62.36,"The other vote was: Hoefling, Thomas (American Independent) 14; Barr, Roseanne (Peace and Freedom) 112; Stevens, Thomas Robert (Objectivist) 68; Barnett, Andre (Reform) 13; Lindsay, Peta (Socialism and Liberation) 8; Stein, Jill (Green) 88; Goode, Virgil H. Jr. (Write-in) 43; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 43; Alexander, Stewart (Socialist) 19",,"The other vote was: Hoefling, Thomas (American Independent) 14; Barr, Roseanne (Peace and Freedom) 112; Stevens, Thomas Robert (Objectivist) 68; Barnett, Andre (Reform) 13; Lindsay, Peta (Socialism and Liberation) 8; Stein, Jill (Green) 88; Goode, Virgil H. Jr. (Write-in) 43; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 43; Alexander, Stewart (Socialist) 19"
President,Florida,20121106,N/A,PALM BEACH,County,"600,721","247,398","Romney, W. Mitt",Challenger,"349,651","Obama, Barack H.",Incumbent,Libertarian,"2,293","Johnson, Gary E.",Challenger,"1,379","102,253",D,41.18,58.21,.38,.23,41.44,58.56,"The other vote was: Hoefling, Thomas (American Independent) 35; Barr, Roseanne (Peace and Freedom) 353; Stevens, Thomas Robert (Objectivist) 161; Barnett, Andre (Reform) 41; Lindsay, Peta (Socialism and Liberation) 18; Stein, Jill (Green) 503; Goode, Virgil H. Jr. (Write-in) 125; Scattered Write-In (Write-in) 3; Anderson, Ross C. (Justice) 97; Alexander, Stewart (Socialist) 43",,"The other vote was: Hoefling, Thomas (American Independent) 35; Barr, Roseanne (Peace and Freedom) 353; Stevens, Thomas Robert (Objectivist) 161; Barnett, Andre (Reform) 41; Lindsay, Peta (Socialism and Liberation) 18; Stein, Jill (Green) 503; Goode, Virgil H. Jr. (Write-in) 125; Scattered Write-In (Write-in) 3; Anderson, Ross C. (Justice) 97; Alexander, Stewart (Socialist) 43"
President,Florida,20121106,N/A,PASCO,County,"213,573","112,427","Romney, W. Mitt",Challenger,"98,263","Obama, Barack H.",Incumbent,Libertarian,"1,695","Johnson, Gary E.",Challenger,"1,188","14,164",R,52.64,46.01,.79,.56,53.36,46.64,"The other vote was: Hoefling, Thomas (American Independent) 43; Barr, Roseanne (Peace and Freedom) 455; Stevens, Thomas Robert (Objectivist) 154; Barnett, Andre (Reform) 30; Lindsay, Peta (Socialism and Liberation) 8; Stein, Jill (Green) 317; Goode, Virgil H. Jr. (Write-in) 89; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 66; Alexander, Stewart (Socialist) 25",,"The other vote was: Hoefling, Thomas (American Independent) 43; Barr, Roseanne (Peace and Freedom) 455; Stevens, Thomas Robert (Objectivist) 154; Barnett, Andre (Reform) 30; Lindsay, Peta (Socialism and Liberation) 8; Stein, Jill (Green) 317; Goode, Virgil H. Jr. (Write-in) 89; Scattered Write-In (Write-in) 1; Anderson, Ross C. (Justice) 66; Alexander, Stewart (Socialist) 25"
